City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",2.49,2.46,Mobil,40.9252206,-72.6951725
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",2.57,2.52,Speedway,40.9346058,-72.6699464
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",2.55,2.5,Shell,40.9239801,-72.7023482
Riverhead,11901,Valero,"1356 OLD COUNTRY RD, 11901",2.49,2.49,-,40.9283279,-72.6857992
Riverhead,11901,Empire,"1050 Osborne Ave, 11901",2.49,2.49,-,40.8032257,-72.7577586
Riverhead,11901,Sunoco,"1879 Old Country Rd 58, 11901",2.59,2.56,Sunoco,,
Riverhead,11901,76,"301 Flanders Rd, 11901",2.69,2.69,-,40.9120984,-72.6478696
Riverhead,11901,Empire,"640 Old Country Rd, 11901",2.69,2.69,-,40.935281,-72.6648692
Riverhead,11901,Empire,"640 Main Rd, 11901",2.89,2.89,-,40.9379155,-72.6465653
Riverhead,11901,CITGO,"1429 Main Rd, 11901",2.89,2.89,-,40.9379155,-72.6465653
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",2.85,2.82,7-Eleven,40.8300726,-72.6474301
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",2.85,2.8,Speedway,40.88464,-72.4264717
Hampton Bays,11946,7-11,"192 W Montauk hwy, 11946",2.73,2.7,7-11,40.874857,-72.536217
Southampton,11968,Speedway,"816 CR-39, 11968",2.89,2.84,Speedway,40.8926889,-72.4251772
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",3.09,3.04,Speedway,40.9192162,-72.3436923
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",3.99,3.99,-,40.9957393,-72.2839455
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.13,4.13,-,40.97458,-72.1821194
