City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",3.79,Shell,40.9239801,-72.7023482,3.74
Riverhead,11901,Shell,"9 Lake Ave, 11901",3.79,Shell,40.9142638,-72.6632928,3.74
Riverhead,11901,76,"7 Peconic Ave, 11901",3.79,-,40.9149773,-72.6623567,3.79
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",3.87,Mobil,40.9252206,-72.6951725,3.84
Riverhead,11901,USA Gasoline,"1446 Flanders Rd, 11901",3.87,-,40.90403,-72.6056344,3.87
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",3.89,Speedway,40.9346058,-72.6699464,3.84
Hampton Bays,11946,7-Eleven,"192 W Montauk hwy, 11946",3.87,7-Eleven,40.8766328,-72.5321733,3.84
Hampton Bays,11946,Shell,"250 E Montauk Hwy, 11946",4.19,Shell,40.8834616,-72.5046248,4.14
Southampton,11968,Shell,"1630 CR-39, 11968",3.89,Shell,40.8949342,-72.4534478,3.84
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",4.35,-,40.9957393,-72.2839455,4.35
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.49,-,40.97458,-72.1821194,4.49
Amagansett,11930,Gulf,"56 Montauk Hwy, 11930",4.99,-,40.9726927,-72.1482366,4.99
Amagansett,11930,Mobil,"130 Main St, 11930",5.09,Mobil,40.9775166,-72.1371046,5.06
Amagansett,11930,Shell,"541 Montauk Hwy, 11930",5.05,Shell,40.978223,-72.1247553,5.0
Montauk,11954,Montauk Fuels,"813 Montauk Hwy, 11954",4.94,-,41.0364856,-71.9418669,4.94
Montauk,11954,Mobil,"701 Montauk Hwy, 11954",5.52,Mobil,41.0338098,-71.9463966,5.49
