City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,Sunoco,"1879 Old Country Rd 58, 11901",3.85,Sunoco,,,3.82
Riverhead,11901,USA Gasoline,"1446 Flanders Rd, 11901",3.89,-,40.90403,-72.6056344,3.89
Riverhead,11901,Shell,"626 W Main St, 11901",3.89,Shell,40.9184063,-72.6731535,3.84
