City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",3.69,Speedway,40.9346058,-72.6699464,3.64
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",3.69,7-Eleven,40.8300726,-72.6474301,3.66
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",3.69,Speedway,40.88464,-72.4264717,3.64
Hampton Bays,11946,7-Eleven,"192 W Montauk hwy, 11946",3.49,7-Eleven,40.8766328,-72.5321733,3.46
Hampton Bays,11946,Mobil,"239 W Montauk Hwy, 11946",3.6,Mobil,40.8659062,-72.5490604,3.57
Southampton,11968,Speedway,"816 CR-39, 11968",3.69,Speedway,40.8926889,-72.4251772,3.64
Southampton,11968,Gas Hampton,"2000 CR-39, 11968",3.49,-,40.8949126,-72.4661039,3.49
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",3.49,Speedway,40.9192162,-72.3436923,3.44
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",4.19,-,40.9957393,-72.2839455,4.19
Wainscott,11975,Speedway,"Unknown Address, 11975",3.69,Speedway,40.9487031,-72.2446628,3.64
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.33,-,40.97458,-72.1821194,4.33
