City,Zip,Station,Address,Base,Net,Discount
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",2.69,2.66,Mobil
Riverhead,11901,BP,"626 W Main St, 11901",2.79,2.74,BP
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",2.79,2.74,Shell
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",2.87,2.82,Speedway
Riverhead,11901,Mobil,"415 E Main St, 11901",2.85,2.82,Mobil
Riverhead,11901,OK Petroleum,"1212 E Main St, 11901",2.89,2.89,-
Hampton Bays,11946,Mobil,"239 W Montauk Hwy, 11946",2.75,2.72,Mobil
Hampton Bays,11946,Shell,"250 E Montauk Hwy, 11946",2.99,2.94,Shell
Southampton,11968,Shell,"Unknown Address, 11968",2.79,2.74,Shell
Southampton,11968,Speedway,"Unknown Address, 11968",2.89,2.84,Speedway
Southampton,11968,Gas Hampton,"Unknown Address, 11968",2.89,2.89,-
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",3.09,3.04,Speedway
Water Mill,11976,Shell,"960 Montauk Hwy, 11976",2.99,2.94,Shell
Bridgehampton,11932,Gulf,"2148 Montauk Hwy, 11932",3.29,3.29,-
Montauk,11954,Mobil,"701 Montauk Hwy, 11954",3.89,3.86,Mobil
