City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",4.19,Mobil,40.9252206,-72.6951725,4.16
Riverhead,11901,Mobil,"415 E Main St, 11901",4.29,Mobil,40.9182937,-72.6568979,4.26
Riverhead,11901,Sunoco,"1879 Old Country Rd 58, 11901",4.19,Sunoco,,,4.16
Riverhead,11901,Valero,"1356 OLD COUNTRY RD, 11901",4.39,-,40.9283279,-72.6857992,4.39
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",4.29,Shell,40.9239801,-72.7023482,4.24
Riverhead,11901,76,"7 Peconic Ave, 11901",4.25,-,40.9149773,-72.6623567,4.25
Riverhead,11901,BP,"626 W Main St, 11901",4.39,BP,40.9184063,-72.6731535,4.34
Riverhead,11901,Empire,"640 Main Rd, 11901",4.39,-,40.9396238,-72.6416222,4.39
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",4.43,Speedway,40.9346058,-72.6699464,4.38
Riverhead,11901,Empire,"1050 Osborne Ave, 11901",4.43,-,40.8032257,-72.7577586,4.43
Riverhead,11901,CITGO,"1429 Main Rd, 11901",4.69,-,40.9391677,-72.6428426,4.69
