City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",3.79,Shell,40.9239801,-72.7023482,3.74
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",3.79,Mobil,40.9252206,-72.6951725,3.76
Riverhead,11901,BP,"626 W Main St, 11901",3.84,BP,40.9184063,-72.6731535,3.79
Riverhead,11901,Shell,"9 Lake Ave, 11901",3.99,Shell,40.9142638,-72.6632928,3.94
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",4.09,Speedway,40.9346058,-72.6699464,4.04
Riverhead,11901,Valero,"1356 OLD COUNTRY RD, 11901",3.89,-,40.9283279,-72.6857992,3.89
Westhampton Beach,11978,Valero,"112 Montauk Hwy, 11978",3.75,-,40.8012031,-72.7825196,3.75
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",4.09,7-Eleven,40.8300726,-72.6474301,4.06
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",4.09,Speedway,40.88464,-72.4264717,4.04
Hampton Bays,11946,7-Eleven,"192 W Montauk hwy, 11946",3.89,7-Eleven,40.8766328,-72.5321733,3.86
Southampton,11968,Shell,"1630 CR-39, 11968",3.79,Shell,40.8949342,-72.4534478,3.74
Southampton,11968,Speedway,"816 CR-39, 11968",4.05,Speedway,40.8926889,-72.4251772,4.0
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",4.19,Speedway,40.9192162,-72.3436923,4.14
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",4.49,-,40.9957393,-72.2839455,4.49
Wainscott,11975,Speedway,"Unknown Address, 11975",4.25,Speedway,40.9487031,-72.2446628,4.2
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.63,-,40.97458,-72.1821194,4.63
Amagansett,11930,Shell,"541 Montauk Hwy, 11930",4.99,Shell,40.978223,-72.1247553,4.94
Amagansett,11930,Mobil,"130 Main St, 11930",5.59,Mobil,40.9775166,-72.1371046,5.56
