City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Riverhead,11901,Valero,"1356 OLD COUNTRY RD, 11901",2.75,2.75,-,40.9283279,-72.6857992
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",2.77,2.74,Mobil,40.9252206,-72.6951725
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",2.81,2.76,Speedway,40.9346058,-72.6699464
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",2.79,2.74,Shell,40.9239801,-72.7023482
Riverhead,11901,BP,"626 W Main St, 11901",2.79,2.74,BP,,
Riverhead,11901,OK Petroleum,"1212 E Main St, 11901",2.89,2.89,-,,
Hampton Bays,11946,Shell,"250 E Montauk Hwy, 11946",2.99,2.94,Shell,40.8834616,-72.5046248
Southampton,11968,Speedway,"Unknown Address, 11968",2.89,2.84,Speedway,39.7881233,-86.2407144
Southampton,11968,Gas Hampton,"Unknown Address, 11968",2.89,2.89,-,,
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",3.09,3.04,Speedway,40.9192162,-72.3436923
Bridgehampton,11932,Gulf,"2148 Montauk Hwy, 11932",3.29,3.29,-,40.9335977,-72.3130303
Montauk,11954,Mobil,"701 Montauk Hwy, 11954",3.89,3.86,Mobil,41.0338098,-71.9463966
